Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision
116,1927,-71.09698537655123,8,0.809326,106.69586563110352,0,1
117,1939,-81.06712049152966,12,0.808138,127.4735279083252,0,1
118,1953,-26.582390931828918,14,0.806752,136.74409212384904,0,1
119,1963,-58.621034251364875,10,0.805762,136.36865158081054,0,1
120,1968,-52.47336141178748,5,0.805267,161.14911193847655,0,1
121,1981,-29.06760489841536,13,0.80398,143.96555915245642,0,1
122,1999,-27.549216210247614,18,0.802198,124.33916134304471,0,1
123,2017,-71.54931748012996,18,0.800416,125.02302190992567,0,1
124,2024,-42.61624341431875,7,0.799723,105.63413347516742,0,1
125,2035,-70.51592005356883,11,0.7986340000000001,117.04385722767223,0,1
126,2041,-41.24331025882313,6,0.7980400000000001,106.95413462320964,0,1
127,2044,-52.690854383576124,3,0.797743,98.97094980875652,0,1
128,2047,-50.48783796758626,3,0.797446,109.28189595540364,0,1
129,2092,19.16710557682103,45,0.792991,106.35128902859158,0,1
130,2104,-23.01020260835753,12,0.791803,94.36529191335042,0,1
131,2120,-33.092436832665335,16,0.790219,103.1010308265686,0,1
132,2134,-68.18131317089922,14,0.788833,103.35602624075753,0,1
133,2138,-48.23456682167494,4,0.788437,100.55716705322266,0,1
134,2158,-98.71594447479518,20,0.786457,98.89762725830079,0,1
135,2187,-72.84807318863021,29,0.783586,101.33236260249697,0,1
136,2193,-62.135096366704886,6,0.782992,89.02006276448567,0,1
137,2214,-46.20843303146997,21,0.780913,94.41048031761532,0,1
138,2235,-20.0604216384741,21,0.778834,107.07609231131417,0,1
139,2256,-78.26662189514629,21,0.776755,102.6760139465332,0,1
140,2263,-64.76589043822223,7,0.776062,94.46710423060826,0,1
141,2269,-62.33030468260054,6,0.775468,94.88511530558269,0,1
142,2274,-50.76586935933807,5,0.774973,113.91254119873047,0,1
143,2286,-46.1810375195113,12,0.773785,95.64655431111653,0,1
144,2292,-64.24421381848452,6,0.773191,96.20511245727539,0,1
145,2295,-50.90755952457193,3,0.772894,95.77645619710286,0,1
146,2308,-59.68929025534786,13,0.771607,97.75439981313852,0,1
147,2319,-73.76405408252825,11,0.770518,98.32417019930753,0,1
148,2325,-45.838988949740155,6,0.769924,106.25000762939453,0,1
149,2348,-55.05155381861429,23,0.767647,97.73675172225289,0,1
150,2353,-52.52360033424661,5,0.7671520000000001,88.11952209472656,0,1
151,2371,-34.97013779548598,18,0.76537,88.61369323730469,0,1
152,2380,-70.63738456036567,9,0.764479,101.91414048936632,0,1
153,2387,-49.37003034829015,7,0.763786,94.96054295131138,0,1
154,2393,-40.737670385273304,6,0.763192,96.57732200622559,0,1
155,2398,-46.00328656371394,5,0.762697,80.75653381347657,0,1
156,2433,172.95589931296746,35,0.759232,95.57281167166573,1,0
157,2437,-52.30611191370471,4,0.758836,91.17017936706543,0,1
158,2466,166.57518113328382,29,0.755965,103.11341594827586,1,0
159,2474,-49.21435315221534,8,0.755173,106.36231899261475,0,1
160,2480,-51.218206052487865,6,0.754579,87.44171524047852,0,1
161,2506,5.59565099769555,26,0.752005,94.47484280512883,0,1
162,2515,-32.2305083541356,9,0.7511140000000001,81.80313958062067,0,1
163,2520,-59.06483736352198,5,0.7506189999999999,98.97523498535156,0,1
164,2530,-67.99582112377738,10,0.749629,80.6973159790039,0,1
165,2537,-43.5762268048357,7,0.748936,73.86419132777623,0,1
166,2545,-75.87060022867313,8,0.7481439999999999,78.34925270080566,0,1
167,2560,-19.8302242911461,15,0.746659,93.1575085957845,0,1
168,2566,-65.3527363037308,6,0.746065,83.66231791178386,0,1
169,2599,-108.80161691922534,33,0.7427980000000001,73.60360544378108,0,1
170,2618,-53.49003137010438,19,0.740917,83.52984117206775,0,1
171,2632,-59.256264168059026,14,0.7395309999999999,85.72231701442173,0,1
172,2700,108.84156588417193,68,0.732799,75.02447666841395,1,0
173,2707,-61.551816224587085,7,0.7321059999999999,91.16904122488839,0,1
174,2710,-47.211378922703354,3,0.731809,63.31543731689453,0,1
175,2721,-48.83987402841938,11,0.73072,85.38441952792081,0,1
